站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
DE,Transaktionsgebühren für Versand durch Amazon,"""Versand durch Amazon""-Gebühr für Kundenrücksendungen","Transaktionsgebühren für Versand durch Amazon/""Versand durch Amazon""-Gebühr für Kundenrücksendungen",Gesamt,FBA退货服务费,29,单维度费用,售后费用
DE,Versand durch Amazon Lagergebühr,FBA-Lagergebühr,Versand durch Amazon Lagergebühr/FBA-Lagergebühr,Gesamt,FBA仓储费,29,单维度费用,仓储费
DE,Versand durch Amazon Lagergebühr,Versand durch Amazon Langzeitlagergebühr,Versand durch Amazon Lagergebühr/Versand durch Amazon Langzeitlagergebühr,Gesamt,FBA长期仓储费,29,单维度费用,仓储费
DE,Versand durch Amazon Lagergebühr,Versand durch Amazon Gebühr für Entsorgung,Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Entsorgung,Gesamt,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
DE,Versand durch Amazon Lagergebühr,Capacity Reservation Fee,Versand durch Amazon Lagergebühr/Capacity Reservation Fee,Gesamt,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
DE,Übertrag,,Übertrag,Gesamt,提现金额,18,单维度费用,
ES,Ajuste,Reembolso de inventario - extraviado en el almacén,Ajuste/Reembolso de inventario - extraviado en el almacén,total,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
ES,Ajuste,Reembolso de inventario de Logística de Amazon (Devolución del cliente),Ajuste/Reembolso de inventario de Logística de Amazon (Devolución del cliente),total,FBA库存赔偿-客户退货,5,单维度费用,索赔
ES,Ajuste,Reembolso de inventario - ajuste general,Ajuste/Reembolso de inventario - ajuste general,total,FBA库存赔偿-常规调整,35,单维度费用,售后费用
ES,Cargo retroactivo,,Cargo retroactivo,impuesto de ventas de productos,订单追加费-商品税,41,多维度费用,税费
ES,Cargo retroactivo,,Cargo retroactivo,impuestos por abonos de envío,订单追加费-运费税,41,多维度费用,税费
ES,Cargo retroactivo,,Cargo retroactivo,impuesto retenido en el sitio web,订单追加费-平台代扣代缴税额,43,多维度费用,税费
ES,Pedido,,Pedido,ventas de productos,商品销售收入,3,订单,订单金额
ES,Pedido,,Pedido,impuesto de ventas de productos,商品销售税,41,订单,税费
ES,Pedido,,Pedido,abonos de envío,运费销售收入,8,订单,订单金额
ES,Pedido,,Pedido,impuestos por abonos de envío,运费税,41,订单,税费
ES,Pedido,,Pedido,abonos de envoltorio para regalo,包装收入,10,订单,订单金额
ES,Pedido,,Pedido,impuestos por abonos de envoltorio para regalo,包装税,41,订单,税费
ES,Pedido,,Pedido,devoluciones promocionales,折扣金额,12,订单,订单金额
ES,Pedido,,Pedido,impuestos de descuentos por promociones,折扣税,41,订单,税费
ES,Pedido,,Pedido,impuesto retenido en el sitio web,平台代扣代缴税额,43,订单,税费
ES,Pedido,,Pedido,tarifas de venta,佣金,23,订单,平台佣金
ES,Pedido,,Pedido,tarifas de Logística de Amazon,运费,25,订单,尾程派送费
ES,Pedido,,Pedido,tarifas de otras transacciones,其他交易费用,27,订单,弃置费/退货手续费/移除费
ES,Pedido,,Pedido,otro,其他,25,订单,售后费用
ES,Reembolso,,Reembolso,ventas de productos,商品销售收入-退货,4,订单,退款金额
ES,Reembolso,,Reembolso,impuesto de ventas de productos,商品销售税-退货,42,订单,税费
ES,Reembolso,,Reembolso,abonos de envío,运费销售收入-退货,9,订单,退款金额
ES,Reembolso,,Reembolso,impuestos por abonos de envío,运费税-退货,42,订单,税费
ES,Reembolso,,Reembolso,abonos de envoltorio para regalo,包装收入-退货,11,订单,退款金额
ES,Reembolso,,Reembolso,impuestos por abonos de envoltorio para regalo,包装税-退货,42,订单,税费
ES,Reembolso,,Reembolso,devoluciones promocionales,折扣金额-退货,13,订单,退款金额
ES,Reembolso,,Reembolso,impuestos de descuentos por promociones,折扣税-退货,42,订单,税费
ES,Reembolso,,Reembolso,impuesto retenido en el sitio web,平台代扣代缴税额-退货,43,订单,税费
ES,Reembolso,,Reembolso,tarifas de venta,佣金-退货,24,订单,平台佣金
ES,Reembolso,,Reembolso,tarifas de Logística de Amazon,运费-退货,26,订单,尾程派送费
ES,Reembolso,,Reembolso,tarifas de otras transacciones,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
ES,Reembolso,,Reembolso,otro,其他-退货,4,订单,售后费用
ES,Refund_Retrocharge,,Refund_Retrocharge,impuesto de ventas de productos,订单追加费-商品税,41,多维度费用,税费
